productname,revenue,quantity_sold
"Women's Mountain Shorts, L",23376.659286499023,334
"Road-550-W Yellow, 44",281122.9375,281
"Mountain-500 Silver, 42",25424.549560546875,45
"Mountain-500 Silver, 48",27684.509521484375,49
Water Bottle - 30 oz.,39755.32817649841,7967
"Road-650 Red, 60",27264.830017089844,39
"Racing Socks, M",4980.459873199463,554
"Touring-3000 Blue, 50",35632.798828125,48
"Short-Sleeve Classic Jersey, S",20948.120651245117,388
"Touring-3000 Yellow, 44",43798.64855957031,59
"Mountain-100 Silver, 44",81599.759765625,24
"Touring-3000 Blue, 58",42313.94860839844,57
"Long-Sleeve Logo Jersey, XL",18313.64087677002,381
Fender Set - Mountain,87040.79818725586,3960
Touring Tire,49949.7696056366,1723
"Mountain-400-W Silver, 38",112345.53857421875,146
"Classic Vest, M",11557,182
"Sport-100 Helmet, Black",65269.74678039551,1940
"Short-Sleeve Classic Jersey, XL",20678.170642852783,383
"Mountain-500 Black, 42",25919.51953125,48
"Touring-3000 Yellow, 54",34890.44885253906,47
"Road-550-W Yellow, 40",259113.3125,259
Mountain Bottle Cage,38061.899127960205,3810
"Mountain-500 Black, 40",25919.51953125,48
"Road-350-W Yellow, 42",396330.6677246094,233
"Mountain-200 Silver, 46",1182780.6359863281,571
"Women's Mountain Shorts, M",22886.729301452637,327
LL Mountain Tire,38984.399642944336,1560
"Road-750 Black, 48",191696.44653320312,355
"Touring-3000 Blue, 54",40086.898681640625,54
"Road-650 Black, 48",39149.49951171875,56
"Sport-100 Helmet, Blue",67120.17774581909,1995
"Touring-1000 Blue, 50",352842.3701171875,148
"Mountain-500 Black, 48",29699.449462890625,55
"Touring-3000 Yellow, 50",41571.5986328125,56
"Mountain-500 Black, 44",30239.439453125,56
"Road-650 Black, 58",44742.28515625,64
"Touring-1000 Blue, 54",374299.0007324219,157
"Long-Sleeve Logo Jersey, L",20380.534729003906,424
"Road-350-W Yellow, 40",408237.59765625,240
"Road-150 Red, 56",561788.3930664062,157
Mountain Tire Tube,28333.218700408936,5678
"Road-250 Black, 58",584658.75,268
"Road-250 Black, 44",573750.9375,263
HL Mountain Tire,45675,1305
"Mountain-500 Silver, 40",25424.549560546875,45
LL Road Tire,40916.959564208984,1904
"Mountain-500 Silver, 52",27119.51953125,48
All-Purpose Bike Stand,37206,234
"Road-650 Red, 58",45441.383361816406,65
"Touring-3000 Blue, 44",38602.19873046875,52
"Road-650 Black, 44",34954.91027832031,50
Road Bottle Cage,29927.709238052368,3329
AWC Logo Cap,35882.07554912567,4151
"Touring-2000 Blue, 54",104477.09790039062,86
"Sport-100 Helmet, Red",73444.0135231018,2099
"Road-250 Black, 48",641379.375,294
ML Mountain Tire,63548.80951499939,2119
"Half-Finger Gloves, S",20863.616172790527,886
"Mountain-500 Black, 52",22139.589599609375,41
Bike Wash - Dissolver,13562.699674606323,1706
"Mountain-200 Black, 38",1165936.8442382812,569
"Half-Finger Gloves, L",19780.403594970703,840
"Mountain-100 Silver, 42",84999.74975585938,25
"Road-750 Black, 58",177116.716796875,328
"Mountain-100 Black, 48",121499.6396484375,36
"Long-Sleeve Logo Jersey, M",19611.457946777344,408
"Mountain-200 Black, 46",1241753.4755859375,606
"Road-650 Red, 44",45441.383361816406,65
"Mountain-200 Black, 42",1233557.0830078125,602
Touring Tire Tube,13672.59937286377,2740
"Mountain-400-W Silver, 40",96955.73876953125,126
Hitch Rack - 4-Bike,36240,302
Hydration Pack - 70 oz.,38218.051166534424,695
"Mountain-500 Silver, 44",21469.61962890625,38
"Touring-2000 Blue, 46",116625.59765625,96
"Touring-3000 Blue, 62",46768.04846191406,63
Patch Kit/8 Patches,13506.419775009155,5898
"Women's Mountain Shorts, S",19807.169395446777,283
"Road-750 Black, 44",192236.4365234375,356
"Mountain-200 Silver, 38",1213851.9311523438,586
"Mountain-100 Black, 38",87749.73974609375,26
"Mountain-100 Silver, 38",98599.70971679688,29
"Short-Sleeve Classic Jersey, M",20462.210636138916,379
"Road-150 Red, 62",604727.6333007812,169
"Road-650 Black, 60",44043.186950683594,63
"Touring-1000 Blue, 46",419596.33203125,176
"Road-150 Red, 48",640510.3334960938,179
"Mountain-400-W Silver, 42",96955.73876953125,126
"Racing Socks, L",4575.9098834991455,509
"Mountain-100 Silver, 48",74799.77978515625,22
"Road-150 Red, 44",497379.53271484375,139
"Touring-1000 Yellow, 46",400523.771484375,168
"Touring-1000 Blue, 60",350458.3000488281,147
"Touring-3000 Yellow, 62",35632.798828125,48
"Road-250 Red, 48",393379.36572265625,161
"Mountain-100 Black, 42",87749.73974609375,26
"Short-Sleeve Classic Jersey, L",19328.420600891113,358
"Classic Vest, L",11557,182
"Touring-3000 Yellow, 58",34148.098876953125,46
"Touring-1000 Yellow, 60",329001.66943359375,138
"Road-750 Black, 52",206816.16625976562,383
"Mountain-400-W Silver, 46",103881.14868164062,135
HL Road Tire,25916.99878692627,795
"Road-550-W Yellow, 42",296129.5,296
"Road-250 Black, 52",689373.75,316
"Mountain-100 Black, 44",104624.68969726562,31
"Mountain-200 Silver, 42",1133066.5637207031,547
"Road-550-W Yellow, 48",258112.875,258
"Road-650 Red, 48",52432.36541748047,75
"Road-250 Red, 58",661013.4375,303
"Road-250 Red, 44",344512.36376953125,141
"Half-Finger Gloves, M",21617.15535736084,918
"Touring-1000 Yellow, 54",364762.7204589844,153
"Road-650 Black, 62",34954.91027832031,50
"Road-650 Red, 52",35654.00848388672,51
"Road-250 Red, 52",312748.8125,128
"Road-350-W Yellow, 48",382722.7478027344,225
"Long-Sleeve Logo Jersey, S",18842.38116455078,392
"Touring-2000 Blue, 50",121484.99755859375,100
"Touring-2000 Blue, 60",95973.14807128906,79
"Road-650 Black, 52",50335.07080078125,72
"Road-650 Red, 62",50335.07080078125,72
"Classic Vest, S",9969.5,157
"Road-150 Red, 52",601149.36328125,168
Road Tire Tube,17264.730041265488,4327
"Road-350-W Yellow, 44",362310.8679199219,213
"Road-550-W Yellow, 38",264115.5,264
ML Road Tire,43057.7696056366,1723
"Touring-1000 Yellow, 50",348074.22998046875,146
